ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.186666666666667,0,0.07,0.11,0.633333333333333
2,0.253333333333333,0,0,0.516666666666667,0.23
3,0.578333333333333,0.0783333333333333,0,0.0766666666666667,0.266666666666667
4,0.201666666666667,0.00166666666666667,0.00666666666666667,0.05,0.74
5,0.65,0,0,0.253333333333333,0.0966666666666667
6,0.116666666666667,0,0.00333333333333333,0.738333333333333,0.141666666666667
7,0.246666666666667,0.00666666666666667,0.15,0.23,0.366666666666667
8,0.96,0.00333333333333333,0,0.00666666666666667,0.03
9,0.421666666666667,0,0,0.486666666666667,0.0916666666666667
10,0.928333333333333,0,0.0383333333333333,0,0.0333333333333333
11,0.583333333333333,0,0,0.218333333333333,0.198333333333333
12,0,0,0.025,0.025,0.95
13,0.741666666666667,0,0,0.00666666666666667,0.251666666666667
14,0.958333333333333,0,0,0,0.0416666666666667
15,0.27,0,0,0.728333333333333,0.00166666666666667
16,0.735,0,0,0.263333333333333,0.00166666666666667
17,0.131666666666667,0,0,0.726666666666667,0.141666666666667
18,0.495,0,0,0.498333333333333,0.00666666666666667
19,0.0266666666666667,0,0.0683333333333333,0.143333333333333,0.761666666666667
20,0,0.00333333333333333,0.246666666666667,0.00333333333333333,0.746666666666667
21,0.851666666666667,0,0.005,0.143333333333333,0
22,0,0,0.00166666666666667,0,0.998333333333333
23,0.901666666666667,0,0,0.0933333333333333,0.005
24,0,0.00166666666666667,0,0,0.998333333333333
25,0.708333333333333,0,0,0.216666666666667,0.075
26,0.99,0,0,0.00166666666666667,0.00833333333333333
27,0.735,0,0,0.00666666666666667,0.258333333333333
28,0,0.00666666666666667,0.0233333333333333,0.025,0.945
29,0.45,0,0.01,0.42,0.12
30,0,0,0,0.96,0.04
31,0.085,0,0.44,0.005,0.47
32,0.945,0,0,0.01,0.045
33,0.09,0.01,0.305,0.025,0.57
34,1,0,0,0,0
35,0.133333333333333,0.0116666666666667,0,0,0.855
36,0.696666666666667,0,0.035,0.14,0.128333333333333
37,0,0.025,0.413333333333333,0,0.561666666666667
38,1,0,0,0,0
39,0.288333333333333,0,0,0.48,0.231666666666667
40,0.595,0,0.00166666666666667,0.0366666666666667,0.366666666666667
41,0.253333333333333,0,0,0.01,0.736666666666667
42,0,0,0,0,1
43,0.753333333333333,0,0,0.118333333333333,0.128333333333333
44,0,0.0466666666666667,0,0,0.953333333333333
45,0.0283333333333333,0,0.45,0.005,0.516666666666667
46,0.568333333333333,0.00166666666666667,0.00833333333333333,0.17,0.251666666666667
47,0.475,0.151666666666667,0.0866666666666667,0.238333333333333,0.0483333333333333
48,0.486666666666667,0,0,0.46,0.0533333333333333
49,0.235,0,0.241666666666667,0.523333333333333,0
50,0.106666666666667,0.00333333333333333,0.0283333333333333,0.201666666666667,0.66
51,0.0233333333333333,0,0.01,0,0.966666666666667
52,0.856666666666667,0,0,0.141666666666667,0.00166666666666667
53,1,0,0,0,0
54,0.693333333333333,0,0.045,0,0.261666666666667
55,0,0.00166666666666667,0.591666666666667,0.00166666666666667,0.405
56,0.511666666666667,0,0,0,0.488333333333333
57,0.52,0,0.005,0.255,0.22
58,0,0.00833333333333333,0.0233333333333333,0,0.968333333333333
59,0,0,0.456666666666667,0,0.543333333333333
60,0.64,0,0,0.36,0
61,0.87,0,0.0516666666666667,0,0.0783333333333333
62,0.203333333333333,0,0.00333333333333333,0.231666666666667,0.561666666666667
63,0.843333333333333,0,0,0,0.156666666666667
64,0,0.005,0,0,0.995
65,0,0,0.1,0,0.9
66,0.925,0,0,0.075,0
67,1,0,0,0,0
68,0.0366666666666667,0,0.715,0.178333333333333,0.07
69,0.751666666666667,0,0.0433333333333333,0.17,0.035
70,0,0,0.00166666666666667,0,0.998333333333333
71,0.00166666666666667,0.00166666666666667,0.005,0,0.991666666666667
72,0.923333333333333,0,0,0.0316666666666667,0.045
73,0,0.00333333333333333,0.0433333333333333,0,0.953333333333333
74,0.335,0,0,0.348333333333333,0.316666666666667
75,0,0,0.025,0,0.975
76,0.205,0,0.0466666666666667,0,0.748333333333333
77,0.751666666666667,0,0,0,0.248333333333333
78,0.0116666666666667,0,0.0216666666666667,0,0.966666666666667
79,0.301666666666667,0,0.00333333333333333,0.508333333333333,0.186666666666667
80,0.881666666666667,0,0,0.0316666666666667,0.0866666666666667
81,0,0,0,0,1
82,0,0,0,0,1
83,0.688333333333333,0,0,0.0833333333333333,0.228333333333333
84,0,0.02,0.16,0.00166666666666667,0.818333333333333
85,0.00333333333333333,0,0,0.311666666666667,0.685
86,0,0,0.41,0,0.59
87,0.135,0,0.193333333333333,0.36,0.311666666666667
88,0.325,0,0.215,0.181666666666667,0.278333333333333
89,0.00166666666666667,0.01,0.15,0.0183333333333333,0.82
90,0.886666666666667,0,0,0.0816666666666667,0.0316666666666667
91,0,0,0.26,0,0.74
92,0,0,0.445,0.015,0.54
93,0.303333333333333,0,0,0.00333333333333333,0.693333333333333
94,0.903333333333333,0,0,0.0933333333333333,0.00333333333333333
95,0.05,0.02,0.0866666666666667,0,0.843333333333333
96,0.983333333333333,0,0.00833333333333333,0.00666666666666667,0.00166666666666667
97,0.85,0,0,0.136666666666667,0.0133333333333333
98,0,0,0,0,1
99,0.703333333333333,0,0.0233333333333333,0,0.273333333333333
100,0.385,0,0.00333333333333333,0.31,0.301666666666667
101,0.988333333333333,0,0,0,0.0116666666666667
102,1,0,0,0,0
103,0.76,0,0.0366666666666667,0.161666666666667,0.0416666666666667
104,0.813333333333333,0,0.103333333333333,0.0466666666666667,0.0366666666666667
105,0.543333333333333,0,0,0.208333333333333,0.248333333333333
106,0.838333333333333,0,0,0.158333333333333,0.00333333333333333
107,0.573333333333333,0,0.0133333333333333,0.335,0.0783333333333333
108,0.00333333333333333,0,0.168333333333333,0.348333333333333,0.48
109,0.985,0,0.00666666666666667,0.00833333333333333,0
110,0.0566666666666667,0,0.00333333333333333,0.035,0.905
111,0.325,0,0.00666666666666667,0.666666666666667,0.00166666666666667
112,0.126666666666667,0,0,0.761666666666667,0.111666666666667
113,0.556666666666667,0,0,0.315,0.128333333333333
114,0.00833333333333333,0,0,0.973333333333333,0.0183333333333333
115,0,0.00666666666666667,0.02,0,0.973333333333333
116,0.491666666666667,0,0.00333333333333333,0.46,0.045
